iter	RMSE
352	483.159093
353	483.0333662
354	482.8005904
355	482.6668076
356	482.4245178
357	482.2921721
358	482.1473412
359	482.0582203
360	481.7390641
361	481.5130057
362	481.3334054
363	481.2017997
364	481.0721314
365	480.9102405
366	480.6867448
367	480.5002842
368	480.3901858
369	480.2862722
370	480.1498913
371	480.0222354
372	479.8158574
373	479.6002146
374	479.4184291
375	479.2558053
376	479.0792925
377	478.9085133
378	478.7201124
379	478.565847
380	478.5175788
381	478.4251605
382	478.2767214
383	478.1269122
384	477.9863367
385	477.8418157
386	477.6979976
387	477.522762
388	477.266875
389	477.0671595
390	476.8366054
391	476.7095151
392	476.5362102
393	476.3817298
394	476.2118748
395	476.0933049
396	475.8725102
397	475.6697099
398	475.4187741
399	475.2067982
400	475.0346389
401	474.9053084
402	474.7971424
403	474.508381
404	474.3340761
405	474.1433143
406	473.9964173
407	473.8414131
408	473.747215
409	473.5894424
410	473.3947102
411	473.1996393
412	473.1009813
413	472.8852219
414	472.7122907
415	472.5359158
416	472.421554
417	472.1927788
418	472.10032
419	471.9008892
420	471.7681795
421	471.6026427
422	471.5354491
423	471.3344686
424	471.1313153
425	470.8725628
426	470.7691721
427	470.647596
428	470.3706412
